customer_id,first_name,last_name,gender,age,signup_date,region
C0000,Patrick,Morgan,Male,18,11/7/2025,South
C0001,Eric,Lee,Other,36,9/20/2021,East
C0002,Thomas,Pena,Female,44,7/3/2022,East
C0003,Dalton,Duran,Male,24,8/29/2022,South
C0004,Travis,Mcclain,Male,50,3/29/2024,South
C0005,Brian,Kelley,Male,68,11/21/2025,North
C0006,Alyssa,Sandoval,Female,47,8/2/2025,North
C0007,Theresa,Wright,Male,70,8/12/2023,South
C0008,Alyssa,Estrada,Male,48,8/22/2024,East
C0009,Karen,Clark,Female,62,5/31/2024,East
C0010,Christina,Scott,Male,70,4/6/2022,West
C0011,John,Franklin,Other,51,6/30/2021,East
C0012,Jerome,Jones,Male,63,6/6/2021,East
C0013,Richard,Barnes,Male,65,6/15/2021,North
C0014,Anna,Bennett,Male,26,6/28/2021,South
C0015,Anne,Greer,Other,32,9/18/2021,East
C0016,Sabrina,Carey,Male,31,9/21/2023,South
C0017,Crystal,Adkins,Male,45,7/30/2025,North
C0018,Amanda,Riley,Male,19,1/21/2024,West
C0019,Jose,Arellano,Female,20,5/19/2021,South
C0020,Michelle,Adkins,Male,20,4/28/2022,North
C0021,Courtney,Roth,Female,25,12/29/2023,East
C0022,John,Le,Male,22,11/27/2025,East
C0023,Patricia,Stephens,Other,44,9/30/2021,North
C0024,Amber,Higgins,Male,56,1/13/2024,South
C0025,Sharon,Montes,Other,30,12/17/2023,South
C0026,Vincent,Henry,Other,40,9/15/2025,North
C0027,Ray,Ross,Male,27,12/17/2022,East
C0028,Kylie,Long,Other,40,9/16/2024,East
C0029,Nancy,Murphy,Male,50,9/14/2022,South
C0030,Craig,Matthews,Other,54,6/5/2023,North
C0031,Melanie,Patterson,Male,70,4/27/2024,North
C0032,John,Frazier,Other,31,1/7/2022,South
C0033,Charles,Jones,Female,28,7/27/2025,North
C0034,Shawn,Hall,Other,24,5/20/2023,South
C0035,James,Small,Other,63,1/13/2023,West
C0036,Anthony,Williams,Female,44,9/18/2024,South
C0037,John,Silva,Female,61,9/5/2025,North
C0038,Jamie,Hopkins,Male,40,9/22/2025,West
C0039,Jonathan,Brown,Female,31,8/20/2022,South
C0040,Jason,Lee,Female,25,5/23/2022,East
C0041,Jonathan,Kennedy,Male,47,5/16/2023,North
C0042,Sherry,Torres,Other,26,7/19/2021,West
C0043,Kevin,Chavez,Female,63,2/13/2024,East
C0044,Bryan,Pollard,Other,64,12/14/2022,North
C0045,Allison,Pratt,Male,38,6/23/2024,West
C0046,Edward,Green,Male,42,4/7/2022,East
C0047,Michael,Brewer,Female,56,12/11/2025,East
C0048,Gregory,Ward,Other,46,6/9/2025,South
C0049,Robert,Manning,Other,44,9/7/2025,East
C0050,Robert,Wilcox,Female,30,11/4/2023,North
C0051,Kathy,Porter,Female,61,7/14/2024,East
C0052,Megan,Peterson,Male,18,3/13/2025,West
C0053,Matthew,Watson,Other,24,3/26/2025,West
C0054,Jorge,Jenkins,Female,51,7/24/2021,North
C0055,Carlos,Strickland,Male,44,1/25/2025,West
C0056,Dawn,Guzman,Female,62,11/21/2023,North
C0057,Jennifer,Medina,Other,28,1/20/2024,North
C0058,Taylor,Patterson,Female,30,7/10/2025,East
C0059,Alison,Berger,Male,56,11/16/2021,West
C0060,Todd,Boyd,Male,32,6/9/2023,West
C0061,Molly,Johnson,Other,49,12/28/2022,East
C0062,Debbie,Shaw,Other,67,9/25/2024,East
C0063,Barbara,Barnes,Other,43,10/11/2024,East
C0064,Bryan,Jones,Female,60,12/11/2022,West
C0065,Jessica,Lopez,Female,50,11/25/2025,East
C0066,Daniel,Whitaker,Male,67,4/30/2024,West
